dependent_upos,head_upos,direction,distance_bucket,base_deprel,yue_count,zh_count,yue_per_1000_tokens,zh_per_1000_tokens,absolute_rate_difference
VERB,ROOT,ROOT,ROOT,root,784,770,56.32993246156057,77.98258051448248,21.65264805292191
NOUN,VERB,head_left,1-2,obj,348,406,25.003592470182497,41.118087907636216,16.11449543745372
ADV,VERB,head_right,1-2,advmod,756,690,54.31814915936198,69.88049422726353,15.562345067901546
PART,VERB,head_left,1-2,discourse,381,148,27.374622790630838,14.988859631355075,12.385763159275763
PART,VERB,head_left,3-5,discourse,247,57,17.74680270153758,5.772736479643508,11.97406622189407
PART,NOUN,head_left,1-2,discourse,178,14,12.789193849691047,1.4178651002633178,11.371328749427729
PART,VERB,head_left,6+,discourse,147,9,10.561862336542607,0.9114847073121328,9.650377629230475
PUNCT,INTJ,head_left,1-2,punct,164,30,11.783302198591752,3.0382823577071094,8.745019840884643
AUX,VERB,head_right,1-2,aux,211,221,15.160224170139388,22.382013368442372,7.221789198302984
NOUN,VERB,head_right,1-2,obl,91,135,6.538295732145423,13.672270609681993,7.13397487753657
PUNCT,ADV,head_left,1-2,punct,142,36,10.202615318292859,3.6459388292485313,6.556676489044327
NOUN,NOUN,head_right,1-2,compound,83,119,5.963500502945825,12.0518533522382,6.0883528492923755
NOUN,NOUN,head_right,1-2,clf,95,9,6.825693346745222,0.9114847073121328,5.914208639433089
PRON,VERB,head_right,1-2,nsubj,435,366,31.25449058772812,37.06704476402674,5.812554176298619
ADP,NOUN,head_right,1-2,case,55,85,3.951717200747234,8.608466680170144,4.65674947942291
DET,NOUN,head_right,1-2,det,244,215,17.531254490587727,21.77435689690095,4.243102406313223
ADP,PRON,head_right,1-2,case,26,59,1.8680844948986923,5.975288636823982,4.10720414192529
NOUN,VERB,head_right,1-2,nsubj,97,107,6.969392154045122,10.836540409155358,3.8671482551102363
ADJ,NOUN,head_right,1-2,amod,103,110,7.40048857594482,11.140368644926069,3.7398800689812486
PUNCT,NOUN,head_right,1-2,punct,43,67,3.0895243569478374,6.785497265545878,3.6959729085980406
VERB,VERB,head_left,6+,parataxis,83,23,5.963500502945825,2.3293498075754506,3.6341506953703746
PART,ADV,head_left,1-2,discourse,56,4,4.023566604397184,0.40510431436094796,3.6184622900362355
PUNCT,PART,head_left,1-2,punct,51,1,3.664319586147435,0.10127607859023699,3.563043507557198
ADV,VERB,head_right,6+,discourse,50,1,3.592470182497485,0.10127607859023699,3.4911941039072483
NOUN,ROOT,ROOT,ROOT,root,75,86,5.388705273746228,8.709742758760381,3.321037485014153
PRON,VERB,head_right,1-2,obl,13,41,0.9340422474493462,4.152319222199717,3.2182769747503706
VERB,VERB,head_left,6+,conj,118,52,8.478229630694065,5.266356086692324,3.211873544001741
PUNCT,PRON,head_left,1-2,punct,62,13,4.454663026296882,1.316589021673081,3.1380740046238014
VERB,VERB,head_left,1-2,ccomp,169,89,12.1425492168415,9.013570994531092,3.1289782223104083
