deprel,yue_count,zh_count,yue_per_1000_tokens,zh_per_1000_tokens,yue_minus_zh_per_1000,yue_per_sentence,zh_per_sentence,yue_minus_zh_per_sentence,yue_head_left_percent,zh_head_left_percent,yue_long_6plus_percent,zh_long_6plus_percent,yue_mean_distance_nonroot,zh_mean_distance_nonroot
punct,2729,1738,196.07702256071275,176.0178245898319,20.05919797088086,2.7181274900398407,1.7310756972111554,0.9870517928286853,85.01282521069989,77.67548906789413,19.567607182117992,21.979286536248562,4.281055331623305,4.017836593785961
discourse:sp,1153,293,82.842362408392,29.673891026939437,53.16847138145257,1.1484063745019921,0.2918326693227092,0.856573705179283,98.61231569817866,99.31740614334471,13.876843018213357,3.4129692832764507,3.2697311361665222,2.051194539249147
discourse,338,28,24.285098433683,2.8357302005266356,21.449368233156363,0.33665338645418325,0.027888446215139442,0.30876494023904383,25.7396449704142,17.857142857142858,36.094674556213015,10.714285714285714,5.961538461538462,3.607142857142857
advmod,1459,1166,104.82827992527662,118.08790763621633,-13.25962771093971,1.453187250996016,1.1613545816733069,0.2918326693227091,7.059629883481837,2.144082332761578,9.527073337902673,7.97598627787307,2.56614119259767,2.270154373927959
conj,548,312,39.37347320017244,31.59813652015394,7.775336680018501,0.545816733067729,0.3107569721115538,0.23505976095617526,100.0,100.0,33.02919708029197,23.71794871794872,4.927007299270073,3.75
ccomp,439,253,31.54188820232792,25.622847883329957,5.919040318997965,0.43725099601593626,0.25199203187250996,0.1852589641434263,98.63325740318906,98.81422924901186,25.056947608200456,22.134387351778656,4.651480637813211,4.2687747035573125
reparandum,165,3,11.855151602241701,0.30382823577071094,11.55132336647099,0.1643426294820717,0.00298804780876494,0.16135458167330677,0.6060606060606061,0.0,21.21212121212121,0.0,5.1454545454545455,1.3333333333333333
obj,909,792,65.31110791780428,80.21065424346769,-14.899546325663408,0.9053784860557769,0.7888446215139442,0.11653386454183268,99.8899889988999,99.87373737373737,8.250825082508252,4.040404040404041,2.5060506050605063,2.025252525252525
nsubj,924,813,66.38884897255353,82.33745189386266,-15.948602921309131,0.9203187250996016,0.8097609561752988,0.1105577689243028,0.4329004329004329,0.12300123001230012,8.658008658008658,6.519065190651906,2.6277056277056277,2.5043050430504303
clf:det,109,0,7.831584997844518,0.0,7.831584997844518,0.10856573705179283,0.0,0.10856573705179283,1.834862385321101,,1.834862385321101,,1.348623853211009,
clf,212,127,15.232073573789338,12.862061980960098,2.37001159282924,0.21115537848605578,0.12649402390438247,0.08466135458167331,99.52830188679245,91.33858267716535,0.4716981132075472,0.0,1.0424528301886793,1.0236220472440944
det,336,253,24.1413996263831,25.622847883329957,-1.4814482569468552,0.3346613545816733,0.25199203187250996,0.08266932270916333,0.0,0.0,6.25,1.5810276679841897,2.1577380952380953,1.6205533596837944
nmod,239,169,17.17200747233798,17.11565728175005,0.05635019058793134,0.23804780876494025,0.16832669322709162,0.06972111553784863,0.8368200836820083,0.591715976331361,6.2761506276150625,1.183431952662722,2.6485355648535567,2.378698224852071
advcl:coverb,70,0,5.029458255496479,0.0,5.029458255496479,0.0697211155378486,0.0,0.0697211155378486,0.0,,21.428571428571427,,5.014285714285714,
aux,409,349,29.38640609282943,35.34535142799271,-5.958945335163282,0.4073705179282869,0.34760956175298807,0.05976095617529881,31.540342298288508,19.197707736389685,3.667481662591687,3.438395415472779,1.7139364303178484,1.6475644699140402
obl,186,231,13.363989078890645,23.394774154344745,-10.0307850754541,0.1852589641434263,0.2300796812749004,-0.04482071713147409,30.64516129032258,20.77922077922078,13.978494623655914,12.121212121212121,3.8548387096774195,2.792207792207792
nummod,206,162,14.80097715188964,16.406724731618393,-1.605747579728753,0.2051792828685259,0.16135458167330677,0.04382470119521914,0.0,3.0864197530864197,7.766990291262136,3.0864197530864197,2.354368932038835,1.6419753086419753
parataxis,143,100,10.274464721942808,10.127607859023698,0.14685686291911004,0.14243027888446216,0.099601593625498,0.04282868525896416,100.0,100.0,78.32167832167832,46.0,10.475524475524475,6.05
compound:vv,116,78,8.334530823394166,7.899534130038485,0.43499669335568125,0.11553784860557768,0.07768924302788845,0.03784860557768924,100.0,100.0,0.0,0.0,1.25,1.1538461538461537
obl:tmod,138,100,9.91521770369306,10.127607859023698,-0.2123901553306382,0.13745019920318724,0.099601593625498,0.03784860557768924,1.4492753623188406,2.0,24.63768115942029,9.0,4.282608695652174,2.75
mark,151,117,10.849259951142406,11.849301195057727,-1.0000412439153212,0.150398406374502,0.11653386454183266,0.033864541832669334,33.11258278145695,21.367521367521366,19.205298013245034,12.820512820512821,3.4900662251655628,3.017094017094017
case:loc,69,39,4.95760885184653,3.9497670650192425,1.0078417868272873,0.06872509960159362,0.03884462151394422,0.029880478087649397,100.0,100.0,0.0,0.0,1.1594202898550725,1.0769230769230769
compound:dir,60,33,4.310964218996983,3.3421105934778206,0.968853625519162,0.05976095617529881,0.03286852589641434,0.026892430278884466,100.0,100.0,3.3333333333333335,0.0,1.65,1.0909090909090908
appos,47,20,3.376921971547636,2.02552157180474,1.351400399742896,0.046812749003984064,0.0199203187250996,0.026892430278884463,100.0,100.0,23.404255319148938,20.0,3.25531914893617,3.6
flat,27,45,1.939933898548642,4.557423536560664,-2.6174896380120223,0.026892430278884463,0.044820717131474105,-0.017928286852589643,100.0,100.0,0.0,0.0,1.037037037037037,1.1111111111111112
vocative,65,48,4.670211237246731,4.861251772331375,-0.19104053508464425,0.0647410358565737,0.04780876494023904,0.01693227091633466,16.923076923076923,10.416666666666666,41.53846153846154,29.166666666666668,6.384615384615385,5.833333333333333
case,359,375,25.793935910331943,37.97852947133887,-12.184593561006924,0.35756972111553786,0.37350597609561753,-0.015936254980079667,58.21727019498607,38.4,4.735376044568246,5.866666666666666,1.83008356545961,1.8853333333333333
compound:quant,14,0,1.005891651099296,0.0,1.005891651099296,0.013944223107569721,0.0,0.013944223107569721,100.0,,0.0,,1.0,
nsubj:periph,13,0,0.9340422474493462,0.0,0.9340422474493462,0.012948207171314742,0.0,0.012948207171314742,92.3076923076923,,23.076923076923077,,4.769230769230769,
dislocated,17,5,1.221439862049145,0.506380392951185,0.7150594690979599,0.01693227091633466,0.0049800796812749,0.01195219123505976,0.0,0.0,47.05882352941177,60.0,5.705882352941177,9.0
compound:vo,15,5,1.0777410547492456,0.506380392951185,0.5713606617980607,0.014940239043824702,0.0049800796812749,0.009960159362549802,100.0,100.0,0.0,0.0,2.066666666666667,2.2
amod,136,128,9.77151889639316,12.963338059550335,-3.1918191631571755,0.13545816733067728,0.12749003984063745,0.007968127490039834,0.0,0.78125,3.676470588235294,2.34375,2.235294117647059,1.5546875
iobj,14,7,1.005891651099296,0.7089325501316589,0.296959100967637,0.013944223107569721,0.0069721115537848604,0.0069721115537848604,100.0,100.0,0.0,0.0,2.4285714285714284,1.0
obl:patient,2,8,0.14369880729989942,0.8102086287218959,-0.6665098214219964,0.00199203187250996,0.00796812749003984,-0.00597609561752988,0.0,0.0,0.0,0.0,1.0,1.375
compound:ext,17,11,1.221439862049145,1.1140368644926069,0.10740299755653804,0.01693227091633466,0.010956175298804782,0.005976095617529879,94.11764705882354,100.0,0.0,0.0,1.0588235294117647,1.0
advmod:df,5,0,0.35924701824974853,0.0,0.35924701824974853,0.0049800796812749,0.0,0.0049800796812749,100.0,,0.0,,1.6,
mark:adv,10,5,0.7184940364994971,0.506380392951185,0.21211364354831208,0.0099601593625498,0.0049800796812749,0.0049800796812749,100.0,100.0,0.0,0.0,1.1,1.4
compound,177,174,12.717344446041098,17.622037674701236,-4.904693228660138,0.17629482071713148,0.17330677290836655,0.0029880478087649376,1.694915254237288,0.5747126436781609,5.084745762711864,2.2988505747126435,1.8305084745762712,1.4885057471264367
aux:pass,0,2,0.0,0.20255215718047398,-0.20255215718047398,0.0,0.00199203187250996,-0.00199203187250996,,0.0,,0.0,,1.5
csubj,16,14,1.1495904583991954,1.4178651002633178,-0.2682746418641224,0.01593625498007968,0.013944223107569721,0.00199203187250996,0.0,0.0,31.25,35.714285714285715,5.3125,4.714285714285714
obl:agent,3,1,0.2155482109498491,0.10127607859023699,0.11427213235961212,0.00298804780876494,0.00099601593625498,0.00199203187250996,0.0,0.0,0.0,0.0,1.0,1.0
acl,176,178,12.645495042391149,18.027141989062184,-5.381646946671035,0.1752988047808765,0.17729083665338646,-0.0019920318725099584,28.40909090909091,32.58426966292135,12.5,7.865168539325842,2.7443181818181817,2.640449438202247
cc,79,77,5.676102888346027,7.798258051448248,-2.122155163102221,0.07868525896414343,0.07669322709163347,0.0019920318725099584,3.7974683544303796,2.5974025974025974,8.860759493670885,7.792207792207792,2.6835443037974684,2.272727272727273
cop,94,92,6.753843943095272,9.317399230301803,-2.5635552872065306,0.09362549800796813,0.09163346613545817,0.0019920318725099584,0.0,0.0,12.76595744680851,7.608695652173913,2.7872340425531914,2.391304347826087
xcomp,150,152,10.777410547492456,15.393963945716022,-4.616553398223566,0.14940239043824702,0.15139442231075698,-0.0019920318725099584,100.0,99.34210526315789,14.0,7.2368421052631575,3.48,2.7697368421052633
advcl,234,233,16.81276045408823,23.59732631152522,-6.784565857436988,0.23306772908366533,0.23207171314741035,0.0009960159362549792,16.23931623931624,13.304721030042918,59.401709401709404,48.927038626609445,8.068376068376068,6.982832618025751
mark:rel,107,106,7.687886190544618,10.735264330565121,-3.047378140020503,0.10657370517928287,0.10557768924302789,0.0009960159362549792,95.32710280373831,96.22641509433963,4.672897196261682,3.7735849056603774,1.6822429906542056,1.9150943396226414
obj:periph,28,27,2.011783302198592,2.7344541219363987,-0.7226708197378069,0.027888446215139442,0.026892430278884463,0.0009960159362549792,7.142857142857143,0.0,32.142857142857146,11.11111111111111,4.357142857142857,3.4814814814814814
nsubj:pass,1,1,0.07184940364994971,0.10127607859023699,-0.02942667494028728,0.00099601593625498,0.00099601593625498,0.0,0.0,0.0,0.0,0.0,5.0,4.0
root,1004,1004,72.1368012645495,101.68118290459793,-29.544381640048428,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
