dependent_upos,head_upos,direction,distance_bucket,base_deprel,yue_count,zh_count,yue_per_1000_tokens,zh_per_1000_tokens,absolute_rate_difference
VERB,ROOT,ROOT,ROOT,root,619,609,56.26761203526952,77.54010695187166,21.27249491660214
NOUN,VERB,head_left,1-2,obj,279,327,25.361330788110173,41.634835752482815,16.27350496437264
ADV,VERB,head_right,1-2,advmod,584,538,53.08608308335606,68.50012732365674,15.414044240300683
PART,VERB,head_left,3-5,discourse,203,44,18.452867921098083,5.602240896358543,12.85062702473954
PART,VERB,head_left,1-2,discourse,302,121,27.452049813653304,15.406162464985995,12.045887348667309
PART,NOUN,head_left,1-2,discourse,139,11,12.635214980456322,1.4005602240896358,11.234654756366686
PART,VERB,head_left,6+,discourse,108,7,9.81728933733297,0.8912655971479501,8.92602374018502
PUNCT,INTJ,head_left,1-2,punct,128,25,11.63530588128352,3.183091418385536,8.452214462897985
NOUN,VERB,head_right,1-2,obl,72,112,6.5448595582219795,14.260249554367201,7.7153899961452215
AUX,VERB,head_right,1-2,aux,148,165,13.45332242523407,21.008403361344538,7.555080936110468
PRON,VERB,head_right,1-2,nsubj,342,297,31.088082901554404,37.81512605042017,6.727043148865764
PUNCT,ADV,head_left,1-2,punct,114,30,10.362694300518134,3.819709702062643,6.542984598455491
NOUN,NOUN,head_right,1-2,clf,75,6,6.817562039814562,0.7639419404125286,6.053620099402034
NOUN,NOUN,head_right,1-2,compound,62,85,5.635851286246705,10.822510822510823,5.186659536264118
ADP,NOUN,head_right,1-2,case,41,66,3.7269339150986274,8.403361344537815,4.6764274294391885
PUNCT,VERB,head_left,1-2,punct,331,201,30.0881738023816,25.59205500381971,4.496118798561891
DET,NOUN,head_right,1-2,det,198,176,17.998363785110445,22.408963585434172,4.410599800323727
PUNCT,PART,head_left,1-2,punct,44,1,3.99963639669121,0.12732365673542145,3.872312739955788
PART,ADV,head_left,1-2,discourse,47,4,4.272338878283793,0.5092946269416858,3.763044251342107
VERB,VERB,head_left,6+,parataxis,69,20,6.272157076629397,2.5464731347084286,3.7256839419209684
ADJ,NOUN,head_right,1-2,amod,80,86,7.2720661758022,10.949834479246244,3.6777683034440436
ADP,PRON,head_right,1-2,case,21,43,1.9089173711480774,5.474917239623122,3.5659998684750445
NOUN,VERB,head_right,1-2,nsubj,79,83,7.181165348604672,10.567863509039979,3.386698160435307
ADV,VERB,head_right,6+,discourse,38,1,3.454231433506045,0.12732365673542145,3.326907776770623
PUNCT,PRON,head_left,1-2,punct,52,11,4.72684301427143,1.4005602240896358,3.326282790181794
VERB,VERB,head_left,6+,conj,98,45,8.908281065357695,5.729564553093965,3.1787165122637298
VERB,VERB,head_left,1-2,conj,102,48,9.271884374147804,6.111535523300229,3.1603488508475754
PRON,VERB,head_right,1-2,obl,11,32,0.9999090991728025,4.0743570155334865,3.074447916360684
PUNCT,NOUN,head_right,1-2,punct,31,46,2.8179256431233526,5.856888209829386,3.038962566706034
NOUN,ROOT,ROOT,ROOT,root,62,68,5.635851286246705,8.658008658008658,3.0221573717619528
NUM,NOUN,head_right,1-2,nummod,123,111,11.180801745295883,14.13292589763178,2.952124152335898
PUNCT,VERB,head_right,1-2,punct,112,102,10.18089264612308,12.987012987012987,2.8061203408899065
PUNCT,VERB,head_left,3-5,punct,391,258,35.54222343423325,32.84950343773873,2.6927199964945174
VERB,VERB,head_left,1-2,xcomp,72,72,6.5448595582219795,9.167303284950345,2.622443726728365
PRON,VERB,head_right,3-5,nsubj,97,89,8.817380238160167,11.331805449452508,2.514425211292341
VERB,NOUN,head_right,3-5,acl,23,36,2.0907190255431325,4.583651642475172,2.49293261693204
ADV,VERB,head_right,3-5,discourse,33,4,2.9997272975184073,0.5092946269416858,2.4904326705767215
VERB,VERB,head_left,1-2,ccomp,125,70,11.362603399690936,8.9126559714795,2.449947428211436
PUNCT,VERB,head_right,3-5,punct,56,59,5.09044632306154,7.512095747389865,2.421649424328325
INTJ,VERB,head_right,3-5,discourse,32,4,2.90882647032088,0.5092946269416858,2.399531843379194
ADV,VERB,head_left,1-2,advmod,41,11,3.7269339150986274,1.4005602240896358,2.3263736910089916
NOUN,VERB,head_right,3-5,nsubj,32,41,2.90882647032088,5.220269926152279,2.3114434558313994
NOUN,PROPN,head_left,1-2,flat,18,31,1.6362148895554949,3.947033358798065,2.31081846924257
AUX,VERB,head_left,1-2,aux,98,52,8.908281065357695,6.620830150241915,2.2874509151157802
NOUN,NUM,head_left,1-2,clf,92,48,8.36287610217253,6.111535523300229,2.251340578872301
NOUN,VERB,head_left,6+,obj,58,24,5.272247977456595,3.0557677616501144,2.2164802158064805
PART,PRON,head_left,1-2,case,31,39,2.8179256431233526,4.965622612681436,2.1476969695580834
PART,AUX,head_left,1-2,discourse,1,17,0.0909008271975275,2.1645021645021645,2.073601337304637
VERB,VERB,head_left,6+,ccomp,66,31,5.9994545950368146,3.947033358798065,2.0524212362387497
VERB,VERB,head_left,3-5,xcomp,21,31,1.9089173711480774,3.947033358798065,2.0381159876499875
INTJ,VERB,head_right,6+,discourse,23,1,2.0907190255431325,0.12732365673542145,1.963395368807711
NOUN,DET,head_left,1-2,clf,72,36,6.5448595582219795,4.583651642475172,1.9612079157468072
PUNCT,NOUN,head_left,1-2,punct,224,145,20.36178529224616,18.46193022663611,1.8998550656100512
VERB,VERB,head_right,3-5,reparandum,20,0,1.81801654395055,0.0,1.81801654395055
AUX,ROOT,ROOT,ROOT,root,6,18,0.545404963185165,2.291825821237586,1.7464208580524212
PART,DET,head_left,1-2,case,19,0,1.7271157167530224,0.0,1.7271157167530224
PART,PRON,head_left,1-2,discourse,22,3,1.999818198345605,0.3819709702062643,1.6178472281393406
NOUN,NOUN,head_left,1-2,case,29,8,2.6361239887282975,1.0185892538833716,1.6175347348449258
ADV,VERB,head_right,3-5,advmod,121,99,10.999000090900827,12.605042016806722,1.6060419259058953
PART,VERB,head_left,1-2,mark,35,37,3.1815289519134624,4.7109752992105935,1.5294463472971311
ADV,VERB,head_left,1-2,conj,0,12,0.0,1.5278838808250572,1.5278838808250572
INTJ,VERB,head_right,1-2,discourse,18,1,1.6362148895554949,0.12732365673542145,1.5088912328200734
AUX,NOUN,head_right,1-2,cop,22,27,1.999818198345605,3.437738731856379,1.437920533510774
PUNCT,ADJ,head_left,1-2,punct,69,38,6.272157076629397,4.838298955946015,1.4338581206833823
VERB,VERB,head_left,3-5,parataxis,11,19,0.9999090991728025,2.4191494779730074,1.4192403788002048
VERB,VERB,head_left,3-5,conj,80,46,7.2720661758022,5.856888209829386,1.4151779659728136
PRON,NOUN,head_right,1-2,nmod,59,53,5.363148804654123,6.748153806977337,1.385005002323214
PART,ADJ,head_left,1-2,discourse,43,20,3.9087355694936825,2.5464731347084286,1.3622624347852539
INTJ,VERB,head_left,3-5,discourse,16,1,1.45441323516044,0.12732365673542145,1.3270895784250185
INTJ,VERB,head_left,6+,discourse,16,1,1.45441323516044,0.12732365673542145,1.3270895784250185
ADP,NOUN,head_right,3-5,case,22,26,1.999818198345605,3.3104150751209573,1.3105968767753524
PART,VERB,head_left,3-5,mark,7,15,0.6363057903826925,1.9098548510313216,1.273549060648629
VERB,VERB,head_right,6+,reparandum,14,0,1.272611580765385,0.0,1.272611580765385
NUM,NOUN,head_right,3-5,nummod,25,8,2.2725206799381876,1.0185892538833716,1.253931426054816
PRON,NOUN,head_right,3-5,nsubj,12,18,1.09080992637033,2.291825821237586,1.2010158948672562
PART,PROPN,head_left,1-2,case,5,13,0.4545041359876375,1.6552075375604787,1.200703401572841
PUNCT,ADJ,head_right,3-5,punct,1,10,0.0909008271975275,1.2732365673542143,1.1823357401566867
PUNCT,NOUN,head_left,3-5,punct,27,10,2.4543223343332423,1.2732365673542143,1.181085766979028
NOUN,ADJ,head_right,1-2,nsubj,11,17,0.9999090991728025,2.1645021645021645,1.164593065329362
PUNCT,PROPN,head_left,1-2,punct,35,34,3.1815289519134624,4.329004329004329,1.1474753770908666
PUNCT,ADJ,head_right,1-2,punct,7,14,0.6363057903826925,1.7825311942959001,1.1462254039132076
ADV,VERB,head_right,1-2,discourse,14,1,1.272611580765385,0.12732365673542145,1.1452879240299636
PRON,NOUN,head_left,1-2,appos,15,2,1.3635124079629124,0.2546473134708429,1.1088650944920695
AUX,AUX,head_left,1-2,conj,12,0,1.09080992637033,0.0,1.09080992637033
PUNCT,PROPN,head_right,1-2,punct,15,19,1.3635124079629124,2.4191494779730074,1.055637070010095
ADP,NOUN,head_right,6+,case,8,14,0.72720661758022,1.7825311942959001,1.0553245767156803
PRON,ROOT,ROOT,ROOT,root,8,14,0.72720661758022,1.7825311942959001,1.0553245767156803
PROPN,NOUN,head_right,3-5,nmod,4,11,0.36360330879011,1.4005602240896358,1.0369569152995257
PROPN,VERB,head_right,3-5,nsubj,4,11,0.36360330879011,1.4005602240896358,1.0369569152995257
ADP,VERB,head_right,1-2,mark,10,15,0.909008271975275,1.9098548510313216,1.0008465790560466
PART,VERB,head_right,3-5,discourse,11,0,0.9999090991728025,0.0,0.9999090991728025
NOUN,NOUN,head_left,1-2,conj,16,19,1.45441323516044,2.4191494779730074,0.9647362428125674
CCONJ,NOUN,head_right,1-2,cc,9,14,0.8181074447777474,1.7825311942959001,0.9644237495181527
VERB,VERB,head_right,3-5,advcl,54,46,4.908644668666485,5.856888209829386,0.9482435411629018
PROPN,ROOT,ROOT,ROOT,root,19,21,1.7271157167530224,2.6737967914438503,0.9466810746908279
DET,NOUN,head_right,3-5,det,37,19,3.3633306063085175,2.4191494779730074,0.9441811283355102
AUX,NOUN,head_right,3-5,cop,15,18,1.3635124079629124,2.291825821237586,0.9283134132746738
PUNCT,AUX,head_left,3-5,punct,1,8,0.0909008271975275,1.0185892538833716,0.9276884266858442
INTJ,VERB,head_left,1-2,discourse,10,0,0.909008271975275,0.0,0.909008271975275
VERB,NOUN,head_left,1-2,acl,28,27,2.54522316153077,3.437738731856379,0.8925155703256089
NOUN,VERB,head_right,3-5,vocative,14,17,1.272611580765385,2.1645021645021645,0.8918905837367794
PUNCT,VERB,head_left,6+,punct,339,249,30.815380419961823,31.70359052711994,0.8882101071581161
ADJ,VERB,head_left,1-2,compound,23,23,2.0907190255431325,2.928444104914693,0.8377250793715607
PUNCT,AUX,head_left,1-2,punct,9,13,0.8181074447777474,1.6552075375604787,0.8371000927827312
NOUN,VERB,head_left,6+,conj,12,2,1.09080992637033,0.2546473134708429,0.836162612899487
ADV,VERB,head_left,3-5,advmod,9,0,0.8181074447777474,0.0,0.8181074447777474
PRON,PRON,head_right,1-2,reparandum,9,0,0.8181074447777474,0.0,0.8181074447777474
ADV,ADJ,head_left,1-2,advmod,16,5,1.45441323516044,0.6366182836771072,0.8177949514833328
PROPN,VERB,head_left,1-2,obj,22,22,1.999818198345605,2.8011204481792715,0.8013022498336666
ADP,NOUN,head_left,1-2,case,18,19,1.6362148895554949,2.4191494779730074,0.7829345884175125
NOUN,VERB,head_right,3-5,obj,4,9,0.36360330879011,1.145912910618793,0.782309601828683
PUNCT,PRON,head_right,1-2,punct,10,1,0.909008271975275,0.12732365673542145,0.7816846152398536
PRON,VERB,head_left,1-2,obl,10,13,0.909008271975275,1.6552075375604787,0.7461992655852037
NOUN,NOUN,head_left,3-5,conj,13,15,1.1817107535678575,1.9098548510313216,0.7281440974634641
SCONJ,VERB,head_left,6+,mark,8,0,0.72720661758022,0.0,0.72720661758022
VERB,VERB,head_left,3-5,compound,8,0,0.72720661758022,0.0,0.72720661758022
ADV,AUX,head_right,1-2,advmod,15,5,1.3635124079629124,0.6366182836771072,0.7268941242858052
ADV,ADJ,head_right,1-2,advmod,121,92,10.999000090900827,11.713776419658773,0.7147763287579458
ADJ,VERB,head_right,1-2,advmod,19,8,1.7271157167530224,1.0185892538833716,0.7085264628696508
ADP,PROPN,head_right,1-2,case,5,9,0.4545041359876375,1.145912910618793,0.6914087746311556
PUNCT,ADJ,head_left,6+,punct,16,6,1.45441323516044,0.7639419404125286,0.6904712947479114
PUNCT,INTJ,head_right,1-2,punct,13,4,1.1817107535678575,0.5092946269416858,0.6724161266261717
PUNCT,VERB,head_right,6+,punct,25,23,2.2725206799381876,2.928444104914693,0.6559234249765056
VERB,NOUN,head_right,1-2,acl,49,40,4.4541405326788475,5.092946269416857,0.6388057367380098
PART,VERB,head_right,1-2,advmod,0,5,0.0,0.6366182836771072,0.6366182836771072
PUNCT,NUM,head_right,1-2,punct,0,5,0.0,0.6366182836771072,0.6366182836771072
ADJ,VERB,head_left,3-5,conj,7,0,0.6363057903826925,0.0,0.6363057903826925
VERB,VERB,head_left,1-2,compound,98,65,8.908281065357695,8.276037687802393,0.6322433775553016
ADV,NOUN,head_right,3-5,advmod,24,22,2.18161985274066,2.8011204481792715,0.6195005954386117
INTJ,ROOT,ROOT,ROOT,root,10,12,0.909008271975275,1.5278838808250572,0.6188756088497822
PRON,NOUN,head_right,3-5,nmod,25,13,2.2725206799381876,1.6552075375604787,0.617313142377709
NOUN,NOUN,head_right,6+,obl,8,1,0.72720661758022,0.12732365673542145,0.5998829608447985
PRON,NOUN,head_right,1-2,det,8,1,0.72720661758022,0.12732365673542145,0.5998829608447985
SCONJ,VERB,head_left,1-2,mark,8,1,0.72720661758022,0.12732365673542145,0.5998829608447985
VERB,VERB,head_right,1-2,reparandum,8,1,0.72720661758022,0.12732365673542145,0.5998829608447985
NOUN,NOUN,head_right,3-5,nmod,16,16,1.45441323516044,2.0371785077667433,0.5827652726063033
NUM,NOUN,head_right,6+,nummod,12,4,1.09080992637033,0.5092946269416858,0.5815152994286441
PART,VERB,head_left,1-2,compound,19,9,1.7271157167530224,1.145912910618793,0.5812028061342294
VERB,VERB,head_left,6+,advcl,16,7,1.45441323516044,0.8912655971479501,0.5631476380124899
VERB,VERB,head_left,3-5,ccomp,85,65,7.726570311789837,8.276037687802393,0.5494673760125561
ADP,ROOT,ROOT,ROOT,root,1,5,0.0909008271975275,0.6366182836771072,0.5457174564795797
ADV,ADJ,head_left,1-2,mark,6,0,0.545404963185165,0.0,0.545404963185165
AUX,VERB,head_left,1-2,ccomp,6,0,0.545404963185165,0.0,0.545404963185165
NOUN,NOUN,head_right,1-2,reparandum,6,0,0.545404963185165,0.0,0.545404963185165
PART,PROPN,head_right,1-2,compound,6,0,0.545404963185165,0.0,0.545404963185165
PRON,VERB,head_left,3-5,obj,6,0,0.545404963185165,0.0,0.545404963185165
PUNCT,DET,head_left,1-2,punct,6,0,0.545404963185165,0.0,0.545404963185165
PUNCT,NOUN,head_right,6+,punct,11,12,0.9999090991728025,1.5278838808250572,0.5279747816522548
NOUN,VERB,head_right,1-2,obj,4,7,0.36360330879011,0.8912655971479501,0.5276622883578401
VERB,VERB,head_left,3-5,advcl,4,7,0.36360330879011,0.8912655971479501,0.5276622883578401
