deprel,yue_count,zh_count,yue_per_1000_tokens,zh_per_1000_tokens,yue_minus_zh_per_1000,yue_per_sentence,zh_per_sentence,yue_minus_zh_per_sentence,yue_head_left_percent,zh_head_left_percent,yue_long_6plus_percent,zh_long_6plus_percent,yue_mean_distance_nonroot,zh_mean_distance_nonroot
punct,2171,1385,197.3456958458322,176.3432645785587,21.002431267273522,2.7036114570361147,1.7247820672478207,0.978829389788294,85.49055734684477,77.32851985559567,19.207738369415015,22.454873646209386,4.264854905573468,4.055595667870036
discourse:sp,919,239,83.53786019452777,30.430353959765725,53.10750623476204,1.1444582814445827,0.29763387297633875,0.8468244084682439,98.69423286180631,99.16317991631799,12.94885745375408,2.928870292887029,3.1686615886833516,2.0
discourse,272,24,24.72502499772748,3.0557677616501144,21.669257236077367,0.33872976338729766,0.029887920298879204,0.30884184308841844,25.0,20.833333333333332,33.088235294117645,12.5,5.672794117647059,3.625
advmod,1159,935,105.35405872193436,119.04761904761905,-13.693560325684686,1.4433374844333748,1.1643835616438356,0.27895392278953923,7.075064710957722,2.2459893048128343,9.404659188955996,8.770053475935828,2.5729076790336496,2.3080213903743316
conj,459,263,41.72347968366512,33.48612172141584,8.237357962249277,0.5716064757160647,0.3275217932752179,0.2440846824408468,100.0,100.0,33.333333333333336,24.334600760456272,4.910675381263617,3.7604562737642584
ccomp,323,191,29.360967184801382,24.318818436465495,5.042148748335887,0.40224159402241594,0.23785803237858033,0.1643835616438356,98.76160990712074,98.95287958115183,24.76780185758514,20.94240837696335,4.578947368421052,4.204188481675392
reparandum,131,3,11.908008362876101,0.3819709702062643,11.526037392669837,0.16313823163138233,0.0037359900373599006,0.15940224159402244,0.7633587786259542,0.0,21.374045801526716,0.0,5.114503816793893,1.3333333333333333
obj,732,636,66.53940550859012,80.97784568372803,-14.438440175137913,0.9115815691158157,0.7920298879202988,0.11955168119551685,99.86338797814207,99.84276729559748,8.469945355191257,4.088050314465409,2.51775956284153,2.0267295597484276
clf:det,84,0,7.635669484592309,0.0,7.635669484592309,0.10460772104607721,0.0,0.10460772104607721,2.380952380952381,,2.380952380952381,,1.3214285714285714,
nsubj,721,639,65.53949640941732,81.3598166539343,-15.820320244516978,0.8978829389788294,0.7957658779576587,0.10211706102117069,0.5547850208044383,0.1564945226917058,8.460471567267684,6.259780907668231,2.6005547850208046,2.485133020344288
clf,174,100,15.816743932369784,12.732365673542144,3.0843782588276394,0.21668742216687423,0.12453300124533001,0.09215442092154422,99.42528735632185,93.0,0.5747126436781609,0.0,1.0517241379310345,1.03
det,265,207,24.088719207344788,26.35599694423224,-2.2672777368874506,0.3300124533001245,0.2577833125778331,0.07222914072229142,0.0,0.0,5.283018867924528,1.932367149758454,2.1056603773584905,1.6376811594202898
advcl:coverb,56,0,5.09044632306154,0.0,5.09044632306154,0.06973848069738481,0.0,0.06973848069738481,0.0,,17.857142857142858,,5.071428571428571,
nmod,193,146,17.54385964912281,18.58925388337153,-1.0453942342487217,0.2403486924034869,0.18181818181818182,0.05853051058530509,1.0362694300518134,0.0,6.217616580310881,1.36986301369863,2.673575129533679,2.410958904109589
aux,305,260,27.724752295245885,33.10415075120957,-5.379398455963688,0.37982565379825656,0.32378580323785805,0.05603985056039851,33.77049180327869,20.76923076923077,4.262295081967213,3.4615384615384617,1.7573770491803278,1.6576923076923078
obl,140,178,12.72611580765385,22.663610898905016,-9.937495091251167,0.17434620174346202,0.22166874221668742,-0.0473225404732254,30.714285714285715,21.348314606741575,11.428571428571429,10.674157303370787,3.5357142857142856,2.601123595505618
nummod,162,129,14.725934005999454,16.424751718869366,-1.6988177128699125,0.20174346201743462,0.16064757160647572,0.0410958904109589,0.0,2.3255813953488373,7.407407407407407,3.10077519379845,2.3641975308641974,1.6666666666666667
parataxis,114,85,10.362694300518134,10.822510822510823,-0.4598165219926891,0.14196762141967623,0.10585305105853052,0.03611457036114571,100.0,100.0,78.0701754385965,45.88235294117647,10.052631578947368,6.023529411764706
mark,114,86,10.362694300518134,10.949834479246244,-0.5871401787281094,0.14196762141967623,0.10709838107098381,0.03486924034869242,29.82456140350877,16.27906976744186,15.789473684210526,13.953488372093023,3.263157894736842,3.0697674418604652
compound:vv,89,63,8.090173620579947,8.02139037433155,0.06878324624839571,0.11083437110834371,0.0784557907845579,0.03237858032378581,100.0,100.0,0.0,0.0,1.2359550561797752,1.1746031746031746
obl:tmod,108,83,9.81728933733297,10.567863509039979,-0.7505741717070098,0.13449564134495642,0.10336239103362391,0.031133250311332517,0.9259259259259259,2.4096385542168677,23.14814814814815,6.024096385542169,3.8796296296296298,2.6626506024096384
case:loc,52,28,4.72684301427143,3.5650623885918002,1.1617806256796297,0.0647571606475716,0.034869240348692404,0.029887920298879198,100.0,100.0,0.0,0.0,1.1538461538461537,1.1071428571428572
appos,38,18,3.454231433506045,2.291825821237586,1.1624056122684587,0.047322540473225407,0.0224159402241594,0.024906600249066005,100.0,100.0,23.68421052631579,22.22222222222222,3.3157894736842106,3.7222222222222223
compound:dir,46,27,4.181438051086265,3.437738731856379,0.743699319229886,0.057285180572851806,0.033623910336239106,0.0236612702366127,100.0,100.0,4.3478260869565215,0.0,1.7391304347826086,1.0740740740740742
case,275,291,24.997727479320062,37.05118411000764,-12.053456630687577,0.3424657534246575,0.36239103362391034,-0.019925280199252826,58.90909090909091,41.23711340206186,5.090909090909091,6.185567010309279,1.8327272727272728,1.865979381443299
flat,19,33,1.7271157167530224,4.201680672268908,-2.474564955515885,0.023661270236612703,0.0410958904109589,-0.0174346201743462,100.0,100.0,0.0,0.0,1.0,1.0
nsubj:periph,13,0,1.1817107535678575,0.0,1.1817107535678575,0.0161892901618929,0.0,0.0161892901618929,92.3076923076923,,23.076923076923077,,4.769230769230769,
compound:quant,11,0,0.9999090991728025,0.0,0.9999090991728025,0.0136986301369863,0.0,0.0136986301369863,100.0,,0.0,,1.0,
dislocated,13,2,1.1817107535678575,0.2546473134708429,0.9270634400970146,0.0161892901618929,0.0024906600249066002,0.0136986301369863,0.0,0.0,46.15384615384615,50.0,5.384615384615385,4.5
vocative,45,36,4.090537223888737,4.583651642475172,-0.4931144185864351,0.05603985056039851,0.0448318804483188,0.011207970112079704,13.333333333333334,5.555555555555555,42.22222222222222,33.333333333333336,6.4,5.888888888888889
compound:vo,12,5,1.09080992637033,0.6366182836771072,0.45419164269322276,0.014943960149439602,0.0062266500622665,0.008717310087173101,100.0,100.0,0.0,0.0,1.9166666666666667,2.2
amod,102,97,9.271884374147804,12.35039470333588,-3.0785103291880755,0.12702366127023662,0.12079701120797011,0.006226650062266512,0.0,1.0309278350515463,3.9215686274509802,1.0309278350515463,2.2058823529411766,1.5257731958762886
compound,132,127,11.998909190073629,16.170104405398522,-4.171195215324893,0.1643835616438356,0.1581569115815691,0.006226650062266498,2.272727272727273,0.7874015748031497,6.0606060606060606,3.1496062992125986,1.8333333333333333,1.5511811023622046
iobj,9,5,0.8181074447777474,0.6366182836771072,0.18148916110064028,0.0112079701120797,0.0062266500622665,0.0049813200498132005,100.0,100.0,0.0,0.0,2.4444444444444446,1.0
mark:adv,8,4,0.72720661758022,0.5092946269416858,0.21791199063853417,0.009962640099626401,0.0049813200498132005,0.0049813200498132005,100.0,100.0,0.0,0.0,1.125,1.5
compound:ext,15,11,1.3635124079629124,1.4005602240896358,-0.037047816126723365,0.0186799501867995,0.0136986301369863,0.0049813200498132,93.33333333333333,100.0,0.0,0.0,1.0666666666666667,1.0
acl,138,134,12.544314153258794,17.06137000254647,-4.517055849287678,0.1718555417185554,0.16687422166874222,0.004981320049813193,30.434782608695652,36.56716417910448,13.043478260869565,8.955223880597014,2.8115942028985508,2.6791044776119404
xcomp,129,133,11.726206708481048,16.93404634581105,-5.207839637330004,0.16064757160647572,0.1656288916562889,-0.004981320049813193,100.0,99.24812030075188,13.178294573643411,7.518796992481203,3.441860465116279,2.827067669172932
advcl,192,189,17.45295882192528,24.06417112299465,-6.611212301069372,0.23910336239103364,0.23536737235367372,0.0037359900373599153,16.666666666666668,11.11111111111111,55.729166666666664,46.03174603174603,7.890625,7.063492063492063
